vendor,month,bucket_total,current_placement,xoro_says,match,diff_moves,unmapped,no_signal,action
"2253 Apparel, Inc.",2025-01,"$7,200.00","1201 Inventory - ROF: $7,200.00","1201 Inventory - ROF: $7,200.00","$7,200.00","","","$0.00","none"
"2253 Apparel, Inc.",2025-03,"$13,914.00","1201 Inventory - ROF: $13,914.00","1201 Inventory - ROF: $13,914.00","$13,914.00","","","$0.00","none"
"2253 Apparel, Inc.",2025-04,"$9,216.00","1201 Inventory - ROF: $9,216.00","1201 Inventory - ROF: $9,216.00","$9,216.00","","","$0.00","none"
"2253 Apparel, Inc.",2025-11,"$12,385.50","1201 Inventory - ROF: $8,784.75; 8007 Uncategorized Expense: $3,600.75","1201 Inventory - ROF: $8,784.75","$8,784.75","","","$3,600.75","none"
"24 Seven LLC",2025-06,"$20,000.00","6130 Contractors: $20,000.00","","$0.00","","","$20,000.00","none"
"39th and 7th Shop Number 2",2025-01,"$21.26","8007 Uncategorized Expense: $21.26","","$0.00","","","$21.26","none"
"5200 White Oak",2024-09,"$5,350.00","6360 Rent Expense: $5,350.00","","$0.00","","","$5,350.00","none"
"5200 White Oak",2024-11,"$5,350.00","6360 Rent Expense: $5,350.00","","$0.00","","","$5,350.00","none"
"5200 White Oak",2024-12,"$5,350.00","6360 Rent Expense: $5,350.00","","$0.00","","","$5,350.00","none"
"5200 White Oak",2025-01,"$5,350.00","6360 Rent Expense: $5,350.00","","$0.00","","","$5,350.00","none"
"5200 White Oak",2025-02,"$5,350.00","6360 Rent Expense: $5,350.00","","$0.00","","","$5,350.00","none"
"5200 White Oak",2025-03,"$5,350.00","6360 Rent Expense: $5,350.00","","$0.00","","","$5,350.00","none"
"5200 White Oak",2025-04,"$5,350.00","6360 Rent Expense: $5,350.00","","$0.00","","","$5,350.00","none"
"5200 White Oak",2025-05,"$5,350.00","6360 Rent Expense: $5,350.00","","$0.00","","","$5,350.00","none"
"5200 White Oak",2025-06,"$5,350.00","6360 Rent Expense: $5,350.00","","$0.00","","","$5,350.00","none"
"5200 White Oak",2025-07,"$5,250.00","6360 Rent Expense: $5,250.00","","$0.00","","","$5,250.00","none"
"5200 White Oak",2025-08,"$5,350.00","6360 Rent Expense: $5,350.00","","$0.00","","","$5,350.00","none"
"5200 White Oak",2025-09,"$5,350.00","6360 Rent Expense: $5,350.00","","$0.00","","","$5,350.00","none"
"5200 White Oak",2025-10,"$5,350.00","6360 Rent Expense: $5,350.00","","$0.00","","","$5,350.00","none"
"5200 White Oak",2025-11,"$5,350.00","6360 Rent Expense: $5,350.00","","$0.00","","","$5,350.00","none"
"5200 White Oak",2025-12,"$5,350.00","6360 Rent Expense: $5,350.00","","$0.00","","","$5,350.00","none"
"5200 White Oak",2026-01,"$5,350.00","6360 Rent Expense: $5,350.00","","$0.00","","","$5,350.00","none"
"5200 White Oak",2026-02,"$5,350.00","6360 Rent Expense: $5,350.00","","$0.00","","","$5,350.00","none"
"5200 White Oak",2026-03,"$5,350.00","6360 Rent Expense: $5,350.00","","$0.00","","","$5,350.00","none"
"5200 White Oak",2026-04,"$5,350.00","6360 Rent Expense: $5,350.00","","$0.00","","","$5,350.00","none"
"5200 White Oak",2026-05,"$5,350.00","6360 Rent Expense: $5,350.00","","$0.00","","","$5,350.00","none"
"5200 White Oak",2026-06,"$5,350.00","6360 Rent Expense: $5,350.00","","$0.00","","","$5,350.00","none"
"5200 White Oak",2026-07,"$5,350.00","6360 Rent Expense: $5,350.00","","$0.00","","","$5,350.00","none"
"7 Eleven",2024-09,"$21.99","6381 Employee Break Room Supplies Expense: $21.99","","$0.00","","","$21.99","none"
"AC Hotels by Marriott",2025-01,"$1,314.75","6332 Hotel Expense: $1,314.75","","$0.00","","","$1,314.75","none"
"AT&T Mobility-Auto",2024-09,"$490.01","6352 Mobile Phone Expense: $490.01","","$0.00","","","$490.01","none"
"AT&T Mobility-Auto",2025-01,"$150.00","6352 Mobile Phone Expense: $150.00","","$0.00","","","$150.00","none"
"AT&T Mobility-Auto",2025-03,"$150.00","6352 Mobile Phone Expense: $150.00","","$0.00","","","$150.00","none"
"AT&T Mobility-Auto",2025-04,"$150.00","6352 Mobile Phone Expense: $150.00","","$0.00","","","$150.00","none"
"AT&T Mobility-Auto",2025-05,"$699.90","6352 Mobile Phone Expense: $699.90","","$0.00","","","$699.90","none"
"AT&T Mobility-Auto",2025-06,"$408.35","6352 Mobile Phone Expense: $408.35","","$0.00","","","$408.35","none"
"AT&T Mobility-Auto",2025-07,"$771.86","6352 Mobile Phone Expense: $771.86","","$0.00","","","$771.86","none"
"AT&T Mobility-Auto",2025-08,"$665.39","6352 Mobile Phone Expense: $665.39","","$0.00","","","$665.39","none"
"AT&T Mobility-Auto",2025-09,"$665.21","6352 Mobile Phone Expense: $665.21","","$0.00","","","$665.21","none"
