doc_type,invoice_number,subledger_amount,xoro_gl_amount,diff
AR,PT-I153789,34.20,39.21,-5.01
AR,PT-I153786,36.00,40.20,-4.20
AR,PT-I153936,28.00,33.00,-5.00
AR,ROF-I154255,94.00,166.05,-72.05
AR,ROF ECOM-I143327,50.95,60.82,-9.87
AR,ROF ECOM-I014200,50.60,62.86,-12.26
AR,ROF ECOM-I017221,29.20,35.38,-6.18
AR,ROF ECOM-I153730,65.98,75.13,-9.15
AR,PT-I150091,36.00,38.40,-2.40
AR,ROF ECOM-I013181,122.40,190.80,-68.40
AR,ROF ECOM-I143331,35.25,45.96,-10.71
AR,ROF ECOM-I145807,34.00,45.50,-11.50
AR,ROF ECOM-I142650,30.00,35.46,-5.46
AR,PT-I149745,22.50,30.00,-7.50
AR,ROF ECOM-I144977,95.10,115.22,-20.12
AR,PT-I016766,140.00,114.21,25.79
AR,ROF ECOM-I006976,114.00,101.56,12.44
AR,PT-I014491,51.00,62.07,-11.07
AR,ROF ECOM-I015559,29.20,39.76,-10.56
AR,ROF ECOM-I017075,83.10,84.76,-1.66
AR,ROF ECOM-I015092,29.20,70.85,-41.65
AR,ROF ECOM-I015486,28.00,115.94,-87.94
AR,ROF ECOM-I017081,95.70,106.12,-10.42
AR,ROF ECOM-I016935,28.90,39.46,-10.56
AR,ROF ECOM-I017033,24.40,34.72,-10.32
AR,PT-I014801,48.00,59.07,-11.07
AR,ROF ECOM-I015007,57.80,71.01,-13.21
AR,ROF ECOM-I014820,31.60,40.07,-8.47
AR,ROF ECOM-I015503,29.20,69.84,-40.64
AR,PT-I016734,91.00,90.57,0.43
AR,ROF ECOM-I015183,56.00,69.00,-13.00
AR,PT-I014641,48.00,59.07,-11.07
AR,ROF ECOM-I015613,93.00,110.48,-17.48
AR,ROF ECOM-I007505,53.40,63.38,-9.98
AR,ROF ECOM-I014622,24.00,34.42,-10.42
AR,PT-I016817,48.00,61.16,-13.16
AR,ROF ECOM-I017013,29.20,39.62,-10.42
AR,ROF ECOM-I016979,112.40,132.26,-19.86
AR,ROF ECOM-I007548,54.00,59.11,-5.11
AR,ROF ECOM-I016930,116.80,128.32,-11.52
AR,ROF ECOM-I017042,28.00,37.78,-9.78
AR,ROF ECOM-I014481,29.20,70.29,-41.09
AR,ROF ECOM-I014785,53.60,66.05,-12.45
AR,ROF ECOM-I016746,57.80,72.28,-14.48
AR,ROF ECOM-I014695,58.40,73.25,-14.85
AR,ROF ECOM-I017086,19.00,29.56,-10.56
AR,ROF ECOM-I014462,31.00,30.71,0.29
AR,ROF ECOM-I016798,68.30,70.67,-2.37
AR,PT-I014562,72.00,88.68,-16.68
AR,PT-I016839,28.00,37.23,-9.23
AR,ROF ECOM-I014987,60.80,70.85,-10.05
AR,ROF ECOM-I015504,28.30,38.86,-10.56
AR,ROF ECOM-I014984,48.20,61.41,-13.21
AR,ROF ECOM-I016778,87.30,89.06,-1.76
AR,ROF-I014935,105.70,207.90,-102.20
AR,ROF ECOM-I017084,72.00,76.62,-4.62
AR,ROF ECOM-I015600,31.00,39.99,-8.99
AR,ROF ECOM-I014809,28.90,39.46,-10.56
AR,ROF ECOM-I014516,29.20,71.61,-42.41
AR,ROF ECOM-I015475,31.00,44.15,-13.15
AR,ROF ECOM-I015003,22.00,31.89,-9.89
AR,ROF-I014904,90.60,178.20,-87.60
AR,PT-I014496,153.00,137.07,15.93
AR,ROF ECOM-I017040,87.60,102.92,-15.32
AR,PT-I014497,35.00,40.52,-5.52
AR,ROF ECOM-I016801,23.50,30.54,-7.04
AR,ROF ECOM-I014589,69.60,84.45,-14.85
AR,ROF ECOM-I017024,21.00,22.58,-1.58
AR,ROF ECOM-I015614,28.90,31.52,-2.62
AR,ROF ECOM-I015181,29.20,58.70,-29.50
AR,ROF ECOM-I017046,19.00,29.56,-10.56
AR,PT-I014563,46.75,57.82,-11.07
AR,PT-I016977,56.00,68.89,-12.89
AR,PT-I017005,72.00,83.07,-11.07
AR,ROF ECOM-I014573,28.30,35.23,-6.93
AR,ROF ECOM-I015279,87.90,113.13,-25.23
AR,ROF ECOM-I017009,62.00,71.98,-9.98
AR,ROF ECOM-I015561,144.50,151.73,-7.23
AR,PT-I014974,32.30,43.37,-11.07
AR,ROF ECOM-I016768,73.20,76.34,-3.14
AR,ROF ECOM-I014584,57.80,70.25,-12.45
AR,PT-I015796,48.00,51.16,-3.16
AR,ROF ECOM-I015136,86.10,100.58,-14.48
AR,PT-I015462,84.00,94.32,-10.32
AR,ROF ECOM-I014512,55.40,57.53,-2.13
AR,ROF ECOM-I016982,22.50,33.06,-10.56
AR,PT-I014765,57.00,71.11,-14.11
AR,ROF ECOM-I016825,57.80,61.99,-4.19
AR,ROF ECOM-I015737,328.80,249.89,78.91
AR,ROF ECOM-I015607,27.70,31.62,-3.92
AR,ROF ECOM-I014550,27.90,41.88,-13.98
AR,ROF ECOM-I015604,87.60,79.56,8.04
AR,ROF ECOM-I015586,27.70,35.49,-7.79
AR,ROF ECOM-I007528,43.20,45.96,-2.76
AR,ROF ECOM-I016990,19.00,29.95,-10.95
AR,ROF-I016809,34320.00,17160.00,17160.00
AR,ROF ECOM-I014986,26.50,34.27,-7.77
AR,ROF ECOM-I007565,26.70,35.56,-8.86
AR,PT-I016815,82.00,72.57,9.43
AR,ROF ECOM-I006972,28.50,32.56,-4.06
AR,ROF ECOM-I006960,26.70,39.91,-13.21
AR,ROF ECOM-I014670,24.10,65.01,-40.91
AR,ROF ECOM-I016750,18.00,19.08,-1.08
AR,ROF ECOM-I016858,110.80,129.54,-18.74
AR,ROF ECOM-I017099,28.90,39.41,-10.51
AR,ROF ECOM-I014677,66.60,81.45,-14.85
AR,ROF ECOM-I014547,29.20,39.76,-10.56
AR,ROF ECOM-I007497,80.40,87.74,-7.34
AR,ROF ECOM-I014821,31.00,42.16,-11.16
AR,ROF ECOM-I007506,18.90,27.24,-8.34
AR,ROF ECOM-I014742,56.26,131.76,-75.50
AR,ROF ECOM-I015568,39.20,52.41,-13.21
AR,PT-I014633,35.00,49.90,-14.90
AR,ROF ECOM-I014548,82.80,83.15,-0.35
AR,ROF ECOM-I015281,28.90,39.46,-10.56
AR,ROF ECOM-I015434,29.20,91.50,-62.30
AR,ROF ECOM-I014535,175.20,184.00,-8.80
AR,PT-I014565,44.00,85.87,-41.87
AR,ROF ECOM-I017064,24.70,36.74,-12.04
AR,ROF-I014603,38064.00,19032.00,19032.00
AR,PT-I017001,161.00,174.90,-13.90
AR,PT-I014494,222.85,167.14,55.71
AR,ROF ECOM-I015283,59.30,100.76,-41.46
AR,ROF ECOM-I015447,58.40,73.25,-14.85
